id,origin,lat,long
abys,Egypt,26.820553,30.802498
aege,Greece,39.074207,21.824312
abob,United States,37.09024,95.712891
acur,United States,37.09024,95.712891
asho,United States,37.09024,95.712891
awir,United States,37.09024,95.712891
amau,United Arab Emirates,23.424076,53.847816
amis,Australia,-25.274399,133.775131
bali,United States,37.09024,95.712891
bamb,United States,37.09024,95.712891
beng,United States,37.09024,95.712891
birm,France,46.227638,2.213749
bomb,United States,37.09024,95.712891
bslo,United Kingdom,55.378052,-3.435973
bsho,United Kingdom,55.378052,-3.435973
bure,Burma,21.916222,95.955971
buri,United States,37.09024,95.712891
cspa,United Kingdom,55.378052,-3.435973
ctif,United States,37.09024,95.712891
char,United States,37.09024,95.712891
chau,France,46.227638,2.213749
chee,Egypt,26.820553,30.802498
csho,United States,37.09024,95.712891
crex,United States,37.09024,95.712891
cymr,United Kingdom,55.378052,-3.435973
cypr,Canada,56.130367,-106.346771
drex,Cyprus,35.126411,33.429859
dons,United Kingdom,55.378052,-3.435973
lihu,Russia,61.52401,105.318756
emau,China,35.86166,104.195396
ebur,Egypt,26.820553,30.802498
esho,Burma,21.916222,95.955971
hbro,Iran (Persia),32.42791,53.688046
hima,United States,37.09024,95.712891
jbob,United Kingdom,55.378052,-3.435973
java,United States,37.09024,95.712891
khao,Japan,36.204823,138.25293
kora,United States,37.09024,95.712891
kuri,Thailand,15.870032,100.992538
lape,Thailand,15.870032,100.992538
mcoo,Russia,61.52401,105.318756
mala,Thailand,15.870032,100.992538
manx,United States,37.09024,95.712891
munc,United Kingdom,55.378052,-3.435973
nebe,Isle of Man,54.236107,-4.548056
norw,United States,37.09024,95.712891
ocic,United States,37.09024,95.712891
orie,Norway,60.472023,8.468946
pers,United States,37.09024,95.712891
pixi,United States,37.09024,95.712891
raga,United States,37.09024,95.712891
ragd,United States,37.09024,95.712891
rblu,Russia,61.52401,105.318756
sava,United States,37.09024,95.712891
sfol,United Kingdom,55.378052,-3.435973
srex,United States,37.09024,95.712891
siam,Thailand,15.870032,100.992538
sibe,Russia,61.52401,105.318756
sing,Singapore,1.352083,103.819839
snow,United States,37.09024,95.712891
soma,Somalia,5.152149,46.199615
sphy,Canada,56.130367,-106.346771
tonk,Canada,56.130367,-106.346771
toyg,United States,37.09024,95.712891
tang,Turkey,38.963745,35.24332
tvan,Turkey,38.963745,35.24332
ycho,United States,37.09024,95.712891
